scan_id,scan_type,angle_deg,pattern_id,label,capture_id,attempt,bracket_name,exposure_us,gain_db,pattern_filename,pattern_display_timestamp_pc_ms,capture_command_timestamp_pc_ms,camera_timestamp_ms,camera_frame_index,received_image_filename,final_filename,saturated_mask_filename,dark_mask_filename,size_bytes,status,error
hdr_16bit_save_all,object,0,4,Gray2,19,1,mid,10000,0.0,04_Gray2.bmp,1783323079149,1783323079463,1783323079471,19,exposures/pattern_004/mid.png,pattern_004.png,hdr_masks/pattern_004_saturated.png,hdr_masks/pattern_004_dark.png,7782,ok,
hdr_16bit_save_all,object,0,4,Gray2,20,1,long,40000,0.0,04_Gray2.bmp,1783323079149,1783323079476,1783323079485,20,exposures/pattern_004/long.png,pattern_004.png,hdr_masks/pattern_004_saturated.png,hdr_masks/pattern_004_dark.png,7581,ok,
hdr_16bit_save_all,object,0,16,Gray2_inv,21,1,short,2500,0.0,04_Gray2.bmp,1783323079578,1783323079878,1783323079886,21,exposures/pattern_016/short.png,pattern_016.png,hdr_masks/pattern_016_saturated.png,hdr_masks/pattern_016_dark.png,8083,ok,
hdr_16bit_save_all,object,0,16,Gray2_inv,22,1,mid,10000,0.0,04_Gray2.bmp,1783323079578,1783323079891,1783323079898,22,exposures/pattern_016/mid.png,pattern_016.png,hdr_masks/pattern_016_saturated.png,hdr_masks/pattern_016_dark.png,8082,ok,
hdr_16bit_save_all,object,0,16,Gray2_inv,23,1,long,40000,0.0,04_Gray2.bmp,1783323079578,1783323079902,1783323079911,23,exposures/pattern_016/long.png,pattern_016.png,hdr_masks/pattern_016_saturated.png,hdr_masks/pattern_016_dark.png,7881,ok,
hdr_16bit_save_all,object,0,5,Gray3,24,1,short,2500,0.0,05_Gray3.bmp,1783323079989,1783323080290,1783323080297,24,exposures/pattern_005/short.png,pattern_005.png,hdr_masks/pattern_005_saturated.png,hdr_masks/pattern_005_dark.png,11814,ok,
hdr_16bit_save_all,object,0,5,Gray3,25,1,mid,10000,0.0,05_Gray3.bmp,1783323079989,1783323080303,1783323080310,25,exposures/pattern_005/mid.png,pattern_005.png,hdr_masks/pattern_005_saturated.png,hdr_masks/pattern_005_dark.png,11811,ok,
hdr_16bit_save_all,object,0,5,Gray3,26,1,long,40000,0.0,05_Gray3.bmp,1783323079989,1783323080316,1783323080324,26,exposures/pattern_005/long.png,pattern_005.png,hdr_masks/pattern_005_saturated.png,hdr_masks/pattern_005_dark.png,11508,ok,
hdr_16bit_save_all,object,0,17,Gray3_inv,27,1,short,2500,0.0,05_Gray3.bmp,1783323080395,1783323080696,1783323080703,27,exposures/pattern_017/short.png,pattern_017.png,hdr_masks/pattern_017_saturated.png,hdr_masks/pattern_017_dark.png,12014,ok,
hdr_16bit_save_all,object,0,17,Gray3_inv,28,1,mid,10000,0.0,05_Gray3.bmp,1783323080395,1783323080708,1783323080716,28,exposures/pattern_017/mid.png,pattern_017.png,hdr_masks/pattern_017_saturated.png,hdr_masks/pattern_017_dark.png,12011,ok,
hdr_16bit_save_all,object,0,17,Gray3_inv,29,1,long,40000,0.0,05_Gray3.bmp,1783323080395,1783323080720,1783323080726,29,exposures/pattern_017/long.png,pattern_017.png,hdr_masks/pattern_017_saturated.png,hdr_masks/pattern_017_dark.png,11808,ok,
hdr_16bit_save_all,object,0,6,Gray4,30,1,short,2500,0.0,06_Gray4.bmp,1783323080796,1783323081097,1783323081103,30,exposures/pattern_006/short.png,pattern_006.png,hdr_masks/pattern_006_saturated.png,hdr_masks/pattern_006_dark.png,20145,ok,
